City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
287,Pimenta Bueno,BR,81.81,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
292,Antofagasta,CL,73.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
293,San Andrés,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
294,Batticaloa,LK,79.14,broken clouds,7.7102,81.6924,Grand Star Guest House
296,Vangaindrano,MG,78.51,clear sky,-23.35,47.6,Hotel Fanilo
298,Rocha,UY,71.98,clear sky,-34.4833,-54.3333,Hotel Arrarte
300,Kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
302,Faanui,PF,80.56,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
304,Manokwari,ID,79.0,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
306,Ailigandí,PA,79.41,scattered clouds,9.2333,-78.0167,Akwa Reef Lodge
307,Caraballeda,VE,83.37,few clouds,10.6112,-66.8522,Hotel 15 Letras
311,Itarema,BR,76.86,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
314,Foumban,CM,87.67,broken clouds,5.7291,10.9001,Hotel Pekassa De Karche
322,Meulaboh,ID,80.87,broken clouds,4.1363,96.1285,Kost Pria
323,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
325,Diamantino,BR,78.66,overcast clouds,-14.4086,-56.4461,Hotel Delta
327,Vung Tau,VN,78.03,overcast clouds,10.346,107.0843,Green hotel
336,Kloulklubed,PW,81.75,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
337,Rawson,AR,85.48,clear sky,-43.3002,-65.1023,Hosteria Sampedro
338,Soure,BR,75.97,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
339,Orito,CO,80.19,overcast clouds,0.6766,-76.8771,Mayju
346,Mar del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
349,Idenao,CM,86.58,scattered clouds,4.2475,9.0047,Moland Beach Resort
351,Bontang,ID,75.24,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
353,Rafaela,AR,73.99,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
