City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
226,Ochamchira,GE,2022-01-25 10:05:43,42.7121,41.4721,41.31,77,99,3.33
227,Pirovskoye,RU,2022-01-25 10:05:43,57.6267,92.2658,7.93,96,100,3.04
228,Ixtapa,MX,2022-01-25 10:06:43,20.7,-105.2,65.23,98,1,2.75
229,Tarauaca,BR,2022-01-25 10:06:44,-8.1614,-70.7656,71.82,100,100,0.27
230,Chernyanka,RU,2022-01-25 10:06:44,50.9409,37.8069,14.85,91,100,1.52
231,Pevek,RU,2022-01-25 10:06:44,69.7008,170.3133,-19.55,98,100,6.64
232,Ancud,CL,2022-01-25 10:01:51,-41.8697,-73.8203,50.18,89,0,3.8
233,Gopalpur,IN,2022-01-25 10:06:45,19.2667,84.9167,76.08,62,49,11.74
234,Bethel,US,2022-01-25 10:02:40,41.3712,-73.414,38.55,88,100,0.0
235,Oranjemund,NA,2022-01-25 10:06:45,-28.55,16.4333,71.67,75,27,17.65
236,Ribeira Grande,PT,2022-01-25 10:06:46,38.5167,-28.7,52.2,82,20,10.36
237,Talnakh,RU,2022-01-25 10:06:46,69.4865,88.3972,2.21,97,95,10.87
238,Severo-Kurilsk,RU,2022-01-25 10:06:46,50.6789,156.125,20.26,62,98,4.65
239,Concordia,AR,2022-01-25 10:06:47,-31.393,-58.0209,74.79,91,0,5.75
240,Palanca,RO,2022-01-25 10:06:47,46.5333,26.1167,25.14,62,46,4.36
241,Turbat,PK,2022-01-25 10:06:47,26.0023,63.044,76.46,8,0,10.31
242,Arraial Do Cabo,BR,2022-01-25 10:06:11,-22.9661,-42.0278,76.86,83,0,11.5
243,Rundu,NA,2022-01-25 10:06:48,-17.9333,19.7667,88.05,26,75,10.36
244,Lasa,IT,2022-01-25 10:06:48,46.6166,10.7002,28.31,66,0,5.46
245,Maldonado,UY,2022-01-25 10:06:47,-34.6667,-54.9167,74.59,88,66,3.53
246,Ambilobe,MG,2022-01-25 10:06:49,-13.2,49.05,83.25,67,99,2.28
247,Alofi,NU,2022-01-25 10:06:49,-19.0595,-169.9187,81.01,75,5,10.69
248,Luena,AO,2022-01-25 10:06:49,-11.7833,19.9167,74.86,59,100,5.12
249,Ajaccio,FR,2022-01-25 10:06:50,42.0,8.9167,48.69,71,0,3.44
250,Cardoso,BR,2022-01-25 10:06:50,-20.0819,-49.9142,74.97,80,57,3.2
251,Pacific Grove,US,2022-01-25 10:06:14,36.6177,-121.9166,51.8,89,0,3.0
252,Bengkulu,ID,2022-01-25 10:06:51,-3.8004,102.2655,83.88,68,60,4.83
253,Nandi Hills,KE,2022-01-25 10:06:51,0.1066,35.1838,80.1,22,96,4.45
254,Dukat,RU,2022-01-25 10:06:51,62.55,155.55,-27.92,99,94,2.44
255,Margate,GB,2022-01-25 10:06:52,51.3813,1.3862,41.7,78,83,2.06
256,Alice Springs,AU,2022-01-25 10:06:52,-23.7,133.8833,87.35,48,100,16.11
257,Dalvik,IS,2022-01-25 10:06:53,65.9702,-18.5286,33.39,83,74,10.67
258,Pokaran,IN,2022-01-25 10:06:53,26.9167,71.9167,68.14,18,0,4.21
